t,q_current,logq_current,roll_mean_3,roll_median_3,roll_std_3,log_slope_3,roll_mean_7,roll_median_7,roll_std_7,log_slope_7,roll_mean_14,roll_median_14,roll_std_14,log_slope_14,roll_mean_30,roll_median_30,roll_std_30,log_slope_30,ratio_mean_3,ratio_median_3,ratio_mean_7,ratio_median_7,ratio_mean_14,ratio_median_14,ratio_mean_30,ratio_median_30,DEC_RATIO_TARGET,TEST_DATE,OIL_SMOOTH,OIL_NEXT,DELTA_T
30,238.158809,5.472937715855245,240.154183,241.15187,1.4109424864033315,-0.006244592569654644,195.24875271428573,241.15187,72.70618165058947,0.1944917045789234,149.62183328571427,105.245128,70.26546894765123,0.07264923206559293,173.18886411666662,181.761273,55.444854195796175,-0.013975103218919484,0.9958628270226558,1.0,1.2882550780826176,1.0,1.1009732034665913,0.9869791951518304,1.032685539274117,0.9860553964720549,0.000664336305078409,2025-07-19,238.158809,238.000644,1.0
31,238.000644,5.472273379550167,239.10377433333335,238.158809,1.449661095261085,-0.006576760722194138,217.77437057142856,241.15187,56.1514621624805,0.11451031675111505,155.86982757142854,105.245128,73.86511521794796,0.09280585608379645,172.99841754999994,181.761273,55.211603202035484,-0.008731005216842747,0.9956414551284647,0.9993358843174263,1.2881602044136786,1.0,1.1041458793321015,0.9934621826926969,1.0334058755168274,0.9869791951518304,0.1406296615557205,2025-07-20,238.000644,206.777579,1.0
32,206.777579,5.331643717994447,227.64567733333334,238.000644,14.7561151183514,-0.07064699893039779,235.8395505714286,241.15187,12.035897856188377,-0.019332759883693547,163.1221455,156.01135349999998,73.52218653496318,0.09513313804854269,172.24389449999995,181.761273,54.58661337973991,-0.004800678518794217,0.951911790542627,0.9875884810679676,1.2694189195911765,0.9993358843174263,1.1162631130250056,0.9934621826926969,1.0309888585310114,0.9869791951518304,0.007527248802978058,2025-07-21,206.777579,205.226956,1.0
33,205.226956,5.324116469191468,216.668393,206.777579,15.09745690433288,-0.07407845517934857,230.23137114285714,238.158809,15.382173820417975,-0.028737542244781276,170.26370464285714,206.00226750000002,72.40077276374271,0.0942767775802824,171.91437636666666,181.761273,54.35618896086207,-0.0013165828757920753,0.9535493001820359,0.992501009986194,0.9763723272642527,0.992501009986194,1.1157274708811624,0.9900447455270808,1.0328167682893943,0.9900447455270808,0.0028096811232831004,2025-07-22,205.226956,204.651143,1.0
34,204.651143,5.321306788068185,205.5518926666667,205.226956,0.8980053427949246,-0.005168464963130414,225.01698157142854,238.000644,16.907482140943507,-0.03415268572307464,177.76438492857142,206.00226750000002,70.0986960469511,0.08860094881795519,171.56566446666665,181.761273,54.11094416565434,0.0021703177957359742,0.9528354261884177,0.992501009986194,0.9779186634215209,0.9971942623365714,1.1193300935538228,0.9948476361613827,1.0327232437006133,0.9900447455270808,0.031429761184044315,2025-07-23,204.651143,198.319036,1.0
35,198.319036,5.289877026884141,202.73237833333334,204.651143,3.1295455544574167,-0.017119721153663073,218.8980052857143,206.777579,17.693393618042233,-0.03707387100943069,185.15111021428575,206.00226750000002,66.32521882663023,0.07725783993123117,171.18198126666667,181.761273,53.87857684980492,0.005305140378985529,0.9862514306480895,0.992501009986194,0.97349852336745,0.992501009986194,1.1205155761135317,0.9948476361613827,1.0325105141379163,0.9900447455270808,0.011638237602975356,2025-07-24,198.319036,196.024331,1.0
36,196.024331,5.278238789281166,199.66483666666667,198.319036,3.648182734516489,-0.021533999393508876,212.45121400000002,205.226956,16.597916820652642,-0.03425808624930555,192.57587692857143,206.00226750000002,61.1031054571747,0.06134560344555481,170.9579719,181.761273,53.76072562022202,0.008153095265495595,0.9848941688915186,0.9884292247164814,0.9718455554698043,0.9884292247164814,1.1218170009120318,0.9948476361613827,1.0332503257352947,0.9904651173513377,0.0017468643393882429,2025-07-25,196.024331,195.682202,1.0
37,195.682202,5.276491924941777,196.67518966666668,196.024331,1.1707365598546267,-0.0066925509711808825,206.38312728571432,204.651143,13.580466474549873,-0.026014059412823292,200.81593999999998,206.00226750000002,52.595651286125,0.03755892229116445,170.81892353333333,181.761273,53.69115871064204,0.010905731621865993,0.9852476349593525,0.9884292247164814,0.973369295394391,0.992501009986194,1.1308121867385041,0.9977244614383225,1.0336674516296833,0.9948476361613827,0.0,2025-07-26,195.682202,195.682202,1.0
38,196.024331,5.278238789281166,195.910288,196.024331,0.16128115729371484,-2.1820295576302683e-16,200.38651114285716,198.319036,4.581405723480498,-0.010661852622365643,209.08044085714283,206.00226750000002,40.774653947896965,0.009908055514293015,171.26710809999997,181.761273,53.843355405823445,0.013055550699084718,0.9961440920840925,0.9982546605400735,0.9737139392055763,0.992501009986194,1.1309370718096272,0.9977244614383225,1.0366069828087587,0.9977244614383225,0.0,2025-07-28,196.024331,196.024331,1.0
39,405.375943,6.004814890865911,265.6941586666667,196.024331,98.77003566862116,0.36416148296206785,228.757706,198.319036,72.20236787789858,0.06937764876810454,232.2986282857143,222.3891115,51.88025166499743,-0.0009052686311894959,179.17697579999998,181.761273,68.28689864316216,0.019290705011834528,1.3559969811013974,1.0017483909957228,1.1450249228521348,0.9971942623365714,1.2072219212216555,0.9977244614383225,1.0748536339661536,0.9987952724287499,0.0,2025-08-02,405.375943,405.375943,1.0
