TEST_DATE,RF_FORECAST_OIL,ARPS_EXP_FORECAST_OIL,DIFF_RF_MINUS_ARPS
2012-05-07,754.2689959281316,379.135006616829,375.1339893113026
2012-05-08,753.478820515498,378.0410962895996,375.4377242258984
2012-05-09,752.689472893992,376.95034219902266,375.7391306949694
2012-05-10,751.9009521964163,375.86273523847393,376.0382169579423
2012-05-11,751.1132575564816,374.778266327605,376.33499122887656
2012-05-12,750.3263881088067,373.69692641226675,376.6294616965399
2012-05-13,749.5403429889164,372.6187064644333,376.9216365244832
2012-05-14,748.7551213332416,371.54359748212755,377.21152385111407
2012-05-15,747.9707222791176,370.4715904893459,377.4991317897717
2012-05-16,747.1871449647836,369.4026765359822,377.78446842880135
2012-05-17,746.4043885293813,368.33684669775465,378.06754183162667
2012-05-18,745.6224521129546,367.2740920761299,378.3483600368248
2012-05-19,744.8413348564482,366.21440379824975,378.6269310581984
2012-05-20,744.0610359017064,365.15777301685677,378.90326288484965
2012-05-21,743.281554391473,364.1041909102197,379.17736348125334
2012-05-22,742.5028894693896,363.05364868206107,379.44924078732856
2012-05-23,741.725040279995,362.0061375614831,379.7189027185119
2012-05-24,740.9480059687241,360.96164880289393,379.9863571658302
2012-05-25,740.1717856819072,359.9201736859359,380.2516119959713
2012-05-26,739.3963785667687,358.88170351541123,380.5146750513575
2012-05-27,738.6217837714266,357.846229621211,380.7755541502156
2012-05-28,737.8480004448912,356.8137433582417,381.0342570866495
2012-05-29,737.0750277370643,355.7842361063529,381.29079163071134
2012-05-30,736.3028647987381,354.7576992702662,381.54516552847195
2012-05-31,735.531510781595,353.734124279503,381.79738650209197
2012-06-01,734.7609648382055,352.71350258831256,382.04746224989293
2012-06-02,733.991226122028,351.69582567560144,382.2954004464266
2012-06-03,733.222293787408,350.68108504486145,382.5412087425466
2012-06-04,732.4541669895767,349.6692722240995,382.78489476547725
2012-06-05,731.6868448846503,348.6603787657667,383.0264661188836
2012-06-06,730.9203266296292,347.65439624668744,383.2659303829418
2012-06-07,730.1546113823968,346.6513162679893,383.5032951144075
2012-06-08,729.3896983017185,345.6511304550332,383.73856784668527
2012-06-09,728.6255865472414,344.65383045734296,383.9717560898984
2012-06-10,727.8622752794927,343.6594079485362,384.20286733095645
2012-06-11,727.099763659879,342.667854626254,384.43190903362506
2012-06-12,726.3380508506858,341.6791622120923,384.6588886385935
2012-06-13,725.5771360150757,340.69332245153294,384.88381356354273
2012-06-14,724.8170183170881,339.7103271138735,385.1066912032146
2012-06-15,724.0576969216384,338.7301679921602,385.32752892947815
2012-06-16,723.2991709945165,337.75283690311835,385.5463340913982
2012-06-17,722.5414397023866,336.77832568708413,385.76311401530245
2012-06-18,721.7845022127855,335.80662620793686,385.9778760048486
2012-06-19,721.0283576941224,334.8377303530306,386.1906273410918
2012-06-20,720.2730053156776,333.8716300331269,386.40137528255065
2012-06-21,719.5184442476015,332.90831718232704,386.6101270652744
2012-06-22,718.764673660914,331.9477837580043,386.81688990290974
2012-06-23,718.0116927275036,330.9900217407376,387.021670986766
2012-06-24,717.259500620126,330.035023134244,387.224477485882
2012-06-25,716.5080965124038,329.0827799653119,387.4253165470919
2012-06-26,715.757479578825,328.13328428373484,387.6241952950902
2012-06-27,715.0076489947429,327.18652816224477,387.82112083249814
2012-06-28,714.2586039363742,326.2425036964462,388.01610023992805
2012-06-29,713.5103435807989,325.30120300475005,388.20914057604887
2012-06-30,712.762867105959,324.36261822830744,388.40024887765156
2012-07-01,712.0161736906578,323.4267415309449,388.5894321597128
2012-07-02,711.2702625145586,322.4935650990984,388.77669741546015
2012-07-03,710.5251327581844,321.56308114174794,388.9620516164365
2012-07-04,709.7807836029166,320.6352818903533,389.14550171256326
2012-07-05,709.0372142309941,319.71015959878815,389.32705463220594
2012-07-06,708.2944238255126,318.78770654327616,389.5067172822364
2012-07-07,707.5524115704234,317.8679150223264,389.684496548097
2012-07-08,706.811176650533,316.9507773566684,389.86039929386453
